timestamp,raw,buttons,analogs
2026-05-16T12:25:11.393,01010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","1,5,0,0"
2026-05-16T12:25:11.393,01010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","1,4,0,0"
2026-05-16T12:25:11.393,01010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","1,3,0,0"
2026-05-16T12:25:11.393,01010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","1,2,0,0"
2026-05-16T12:25:11.393,01010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","1,1,0,0"
2026-05-16T12:25:11.393,01010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","1,0,0,0"
2026-05-16T12:25:19.503,01020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,1,0,0"
2026-05-16T12:25:19.503,01020200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,2,0,0"
2026-05-16T12:25:19.504,01020300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,3,0,0"
2026-05-16T12:25:19.504,01020400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,4,0,0"
2026-05-16T12:25:19.504,01020500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,5,0,0"
2026-05-16T12:25:19.504,01020600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,6,0,0"
2026-05-16T12:25:19.504,01020700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,7,0,0"
2026-05-16T12:25:19.504,01020800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,8,0,0"
2026-05-16T12:25:19.504,01020900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,9,0,0"
2026-05-16T12:25:19.504,01020a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,10,0,0"
2026-05-16T12:25:19.504,01020b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,11,0,0"
2026-05-16T12:25:19.504,01020c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,12,0,0"
2026-05-16T12:25:19.504,01020d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,13,0,0"
2026-05-16T12:25:19.504,01020e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,14,0,0"
2026-05-16T12:25:19.504,01020f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,15,0,0"
2026-05-16T12:25:19.504,01021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,16,0,0"
2026-05-16T12:25:19.504,01021100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,17,0,0"
2026-05-16T12:25:19.504,01021200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,18,0,0"
2026-05-16T12:25:19.604,01021300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,19,0,0"
2026-05-16T12:25:19.604,01021400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,20,0,0"
2026-05-16T12:25:19.604,01021500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,21,0,0"
2026-05-16T12:25:19.604,01021600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,22,0,0"
2026-05-16T12:25:19.604,01021700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,23,0,0"
2026-05-16T12:25:19.604,01021800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,24,0,0"
2026-05-16T12:25:19.604,01021900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,25,0,0"
2026-05-16T12:25:19.605,01021a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,26,0,0"
2026-05-16T12:25:19.605,01021b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,27,0,0"
2026-05-16T12:25:19.605,01021c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,28,0,0"
2026-05-16T12:25:19.605,01021d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,29,0,0"
2026-05-16T12:25:19.605,01021e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,30,0,0"
2026-05-16T12:25:19.605,01021f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,31,0,0"
2026-05-16T12:25:19.705,01022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,32,0,0"
2026-05-16T12:25:19.705,01022100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,33,0,0"
2026-05-16T12:25:19.705,01022200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,34,0,0"
2026-05-16T12:25:19.705,01022300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,35,0,0"
2026-05-16T12:25:19.705,01022400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,36,0,0"
2026-05-16T12:25:19.705,01022500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,37,0,0"
2026-05-16T12:25:19.705,01022600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,38,0,0"
2026-05-16T12:25:19.705,01022700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,39,0,0"
2026-05-16T12:25:19.705,01022800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,40,0,0"
2026-05-16T12:25:19.705,01022900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,41,0,0"
2026-05-16T12:25:19.705,01022a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,42,0,0"
2026-05-16T12:25:19.705,01022b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,43,0,0"
2026-05-16T12:25:19.705,01022c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,44,0,0"
2026-05-16T12:25:19.805,01022d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,45,0,0"
2026-05-16T12:25:19.805,01022e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,46,0,0"
2026-05-16T12:25:19.805,01022f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,47,0,0"
2026-05-16T12:25:19.805,01023000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,48,0,0"
2026-05-16T12:25:20.306,01023100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,49,0,0"
2026-05-16T12:25:20.306,01023200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,50,0,0"
2026-05-16T12:25:20.306,01023300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,51,0,0"
2026-05-16T12:25:20.306,01023400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,52,0,0"
2026-05-16T12:25:20.306,01023500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,53,0,0"
2026-05-16T12:25:20.306,01023600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,54,0,0"
2026-05-16T12:25:20.306,01023700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,55,0,0"
2026-05-16T12:25:20.306,01023800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,56,0,0"
2026-05-16T12:25:20.306,01023900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,57,0,0"
2026-05-16T12:25:20.306,01023a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,58,0,0"
2026-05-16T12:25:20.306,01023b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,59,0,0"
2026-05-16T12:25:20.306,01023c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,60,0,0"
2026-05-16T12:25:20.306,01023d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,61,0,0"
2026-05-16T12:25:20.306,01023e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,62,0,0"
2026-05-16T12:25:20.306,01023f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,63,0,0"
2026-05-16T12:25:20.306,01024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,64,0,0"
2026-05-16T12:25:20.307,01024100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,65,0,0"
2026-05-16T12:25:20.307,01024200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,66,0,0"
2026-05-16T12:25:20.307,01024300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,67,0,0"
2026-05-16T12:25:20.307,01024400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,68,0,0"
2026-05-16T12:25:20.307,01024500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,69,0,0"
2026-05-16T12:25:20.307,01024600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,70,0,0"
2026-05-16T12:25:20.307,01024700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,71,0,0"
