timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:52.833,01009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010090,dial,Dial 1,144,"1,0,0,0","144,0,0,0"
2026-05-16T12:51:52.833,01008f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01008f,dial,Dial 1,143,"1,0,0,0","143,0,0,0"
2026-05-16T12:51:52.833,01008e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01008e,dial,Dial 1,142,"1,0,0,0","142,0,0,0"
2026-05-16T12:51:52.833,01008d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01008d,dial,Dial 1,141,"1,0,0,0","141,0,0,0"
2026-05-16T12:51:52.833,01008c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01008c,dial,Dial 1,140,"1,0,0,0","140,0,0,0"
2026-05-16T12:51:52.833,01008b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01008b,dial,Dial 1,139,"1,0,0,0","139,0,0,0"
2026-05-16T12:51:52.933,01008a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01008a,dial,Dial 1,138,"1,0,0,0","138,0,0,0"
2026-05-16T12:51:52.933,01008900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010089,dial,Dial 1,137,"1,0,0,0","137,0,0,0"
2026-05-16T12:51:53.434,01008800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010088,dial,Dial 1,136,"1,0,0,0","136,0,0,0"
2026-05-16T12:51:53.434,01008700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010087,dial,Dial 1,135,"1,0,0,0","135,0,0,0"
2026-05-16T12:51:53.434,01008600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010086,dial,Dial 1,134,"1,0,0,0","134,0,0,0"
2026-05-16T12:51:53.434,01008500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010085,dial,Dial 1,133,"1,0,0,0","133,0,0,0"
2026-05-16T12:51:53.434,01008400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010084,dial,Dial 1,132,"1,0,0,0","132,0,0,0"
2026-05-16T12:51:53.434,01008300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010083,dial,Dial 1,131,"1,0,0,0","131,0,0,0"
2026-05-16T12:51:53.434,01008200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010082,dial,Dial 1,130,"1,0,0,0","130,0,0,0"
2026-05-16T12:51:53.434,01008100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010081,dial,Dial 1,129,"1,0,0,0","129,0,0,0"
2026-05-16T12:51:53.434,01008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010080,dial,Dial 1,128,"1,0,0,0","128,0,0,0"
2026-05-16T12:51:53.434,01007f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01007f,dial,Dial 1,127,"1,0,0,0","127,0,0,0"
2026-05-16T12:51:53.434,01007e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01007e,dial,Dial 1,126,"1,0,0,0","126,0,0,0"
2026-05-16T12:51:53.434,01007d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01007d,dial,Dial 1,125,"1,0,0,0","125,0,0,0"
2026-05-16T12:51:53.434,01007c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01007c,dial,Dial 1,124,"1,0,0,0","124,0,0,0"
2026-05-16T12:51:53.434,01007b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01007b,dial,Dial 1,123,"1,0,0,0","123,0,0,0"
2026-05-16T12:51:53.434,01007a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01007a,dial,Dial 1,122,"1,0,0,0","122,0,0,0"
2026-05-16T12:51:53.434,01007900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010079,dial,Dial 1,121,"1,0,0,0","121,0,0,0"
2026-05-16T12:51:53.434,01007800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010078,dial,Dial 1,120,"1,0,0,0","120,0,0,0"
2026-05-16T12:51:53.434,01007700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010077,dial,Dial 1,119,"1,0,0,0","119,0,0,0"
